municipality,year,sex,age_group,population,education_level,unemployment_rate,employment_rate
Kommun_149,2022,Male,16-19,1511,Low,23.6,70.2
Kommun_149,2022,Male,20-24,1498,Low,15.8,80.5
Kommun_149,2023,Female,16-19,1483,Low,19.2,72.6
Kommun_149,2023,Female,20-24,1515,Medium,10.6,82.9
Kommun_149,2023,Male,16-19,1553,High,7.5,85.6
Kommun_149,2023,Male,20-24,1457,Medium,11.8,82.3
Kommun_15,2018,Female,16-19,1485,Medium,9.5,87.1
Kommun_15,2018,Female,20-24,1439,Medium,7,88
Kommun_15,2018,Male,16-19,1489,High,12.6,80.2
Kommun_15,2018,Male,20-24,1514,Low,19.5,75.4
Kommun_15,2019,Female,16-19,1494,Medium,10.3,83.9
Kommun_15,2019,Female,20-24,1545,Medium,15.2,79.2
Kommun_15,2019,Male,16-19,1506,Medium,17.4,77.1
Kommun_15,2019,Male,20-24,1495,Low,16.4,76.4
Kommun_15,2020,Female,16-19,1573,Low,20.2,75
Kommun_15,2020,Female,20-24,1503,Medium,15,81.3
Kommun_15,2020,Male,16-19,1554,Low,20.4,74.7
Kommun_15,2020,Male,20-24,1499,High,3,91.7
Kommun_15,2021,Female,16-19,1508,High,6,90.7
Kommun_15,2021,Female,20-24,1558,High,8,86.8
Kommun_15,2021,Male,16-19,1497,Medium,11,86.7
Kommun_15,2021,Male,20-24,1423,Medium,8.2,84.2
Kommun_15,2022,Female,16-19,1520,Medium,14.8,80.2
Kommun_15,2022,Female,20-24,1469,Low,13.5,77.7
Kommun_15,2022,Male,16-19,1496,High,7.1,89.6
Kommun_15,2022,Male,20-24,1560,Medium,6.6,86.5
Kommun_15,2023,Female,16-19,1496,Medium,15.5,79.1
Kommun_15,2023,Female,20-24,1523,Medium,15.4,79.2
Kommun_15,2023,Male,16-19,1469,Low,19.7,76.8
Kommun_15,2023,Male,20-24,1461,High,10.7,85.3
Kommun_150,2018,Female,16-19,1477,Medium,11.6,81.1
Kommun_150,2018,Female,20-24,1530,Medium,8.3,85.1
Kommun_150,2018,Male,16-19,1502,Medium,13,83.2
Kommun_150,2018,Male,20-24,1458,Low,14.9,79.1
Kommun_150,2019,Female,16-19,1462,Low,16.5,79.6
Kommun_150,2019,Female,20-24,1481,Medium,12.2,82.8
Kommun_150,2019,Male,16-19,1489,High,8,87.8
Kommun_150,2019,Male,20-24,1479,Low,17.9,76.6
Kommun_150,2020,Female,16-19,1478,Low,14.7,79.2
Kommun_150,2020,Female,20-24,1492,Medium,11,87.2
Kommun_150,2020,Male,16-19,1452,Low,18.7,81
Kommun_150,2020,Male,20-24,1566,High,12.3,87
Kommun_150,2021,Female,16-19,1511,Medium,9.4,82.8
Kommun_150,2021,Female,20-24,1536,Low,18.3,76.6
Kommun_150,2021,Male,16-19,1481,High,10.3,83.2
Kommun_150,2021,Male,20-24,1470,Low,20.8,74.7
Kommun_150,2022,Female,16-19,1515,Medium,9.9,86.2
Kommun_150,2022,Female,20-24,1499,Medium,13.7,83.3
Kommun_150,2022,Male,16-19,1551,Medium,11.3,82.9
Kommun_150,2022,Male,20-24,1443,High,6.2,86.1
Kommun_150,2023,Female,16-19,1461,Low,15.1,80
Kommun_150,2023,Female,20-24,1506,High,5.4,87.5
Kommun_150,2023,Male,16-19,1509,Medium,10.9,85.9
Kommun_150,2023,Male,20-24,1436,Low,19,75.3
Kommun_151,2018,Female,16-19,1475,Low,20.4,75.2
Kommun_151,2018,Female,20-24,1505,Medium,8.8,89.1
Kommun_151,2018,Male,16-19,1475,Medium,16.8,76
Kommun_151,2018,Male,20-24,1501,Medium,13.2,83.1
Kommun_151,2019,Female,16-19,1508,Medium,15.9,78.9
Kommun_151,2019,Female,20-24,1464,Medium,9.5,86.5
Kommun_151,2019,Male,16-19,1560,Medium,18.1,77.8
Kommun_151,2019,Male,20-24,1447,Medium,13.2,80.5
Kommun_151,2020,Female,16-19,1464,Low,20,76.5
Kommun_151,2020,Female,20-24,1459,High,10,84.2
Kommun_151,2020,Male,16-19,1559,Medium,11.1,84.8
Kommun_151,2020,Male,20-24,1497,Medium,15.5,77.6
Kommun_151,2021,Female,16-19,1518,Medium,13.9,78.7
Kommun_151,2021,Female,20-24,1453,Medium,11.9,86.1
Kommun_151,2021,Male,16-19,1470,Low,18.4,78
Kommun_151,2021,Male,20-24,1494,Low,19.5,78.2
Kommun_151,2022,Female,16-19,1466,Medium,8,86.9
Kommun_151,2022,Female,20-24,1484,Low,19.5,77.6
Kommun_151,2022,Male,16-19,1501,Medium,13.6,82.4
Kommun_151,2022,Male,20-24,1449,Low,19.9,75.2
Kommun_151,2023,Female,16-19,1518,Medium,8.9,85.4
Kommun_151,2023,Female,20-24,1402,Medium,11.8,84.2
Kommun_151,2023,Male,16-19,1450,Low,18.1,77.5
Kommun_151,2023,Male,20-24,1512,Medium,11.7,86.4
Kommun_152,2018,Female,16-19,1599,Medium,12.4,82.4
Kommun_152,2018,Female,20-24,1489,Medium,5.1,91.8
Kommun_152,2018,Male,16-19,1437,Low,13.1,84.7
Kommun_152,2018,Male,20-24,1487,Medium,9.7,91
Kommun_152,2019,Female,16-19,1448,High,11.2,85.3
Kommun_152,2019,Female,20-24,1514,Low,18,79
Kommun_152,2019,Male,16-19,1439,Low,17.2,75.9
Kommun_152,2019,Male,20-24,1506,Low,17.5,78.1
Kommun_152,2020,Female,16-19,1473,Medium,14.4,81.9
Kommun_152,2020,Female,20-24,1546,High,9.2,83.7
Kommun_152,2020,Male,16-19,1480,Low,21.5,71.6
Kommun_152,2020,Male,20-24,1453,Low,13.7,82.9
Kommun_152,2021,Female,16-19,1532,Low,18,75.4
Kommun_152,2021,Female,20-24,1491,Medium,13.7,82.5
Kommun_152,2021,Male,16-19,1516,Low,18,74.5
Kommun_152,2021,Male,20-24,1508,Medium,16.1,79.7
Kommun_152,2022,Female,16-19,1534,Medium,6.1,89.9
Kommun_152,2022,Female,20-24,1478,Medium,13.7,81
Kommun_152,2022,Male,16-19,1544,Medium,15.1,77.6
Kommun_152,2022,Male,20-24,1432,Medium,10.5,82.6
Kommun_152,2023,Female,16-19,1520,Medium,11,84.8
Kommun_152,2023,Female,20-24,1495,Low,12.6,83.4
Kommun_152,2023,Male,16-19,1531,Low,17.5,77.3
Kommun_152,2023,Male,20-24,1518,Medium,13.2,86
Kommun_153,2018,Female,16-19,1469,Medium,13.5,81.1
Kommun_153,2018,Female,20-24,1478,High,5.5,90.2
Kommun_153,2018,Male,16-19,1469,Medium,14.1,81.2
Kommun_153,2018,Male,20-24,1506,High,6.5,91.8
Kommun_153,2019,Female,16-19,1472,Medium,9.8,84.5
Kommun_153,2019,Female,20-24,1537,Medium,8,88.5
Kommun_153,2019,Male,16-19,1450,Low,16.8,74.5
Kommun_153,2019,Male,20-24,1498,Medium,18.1,76.6
Kommun_153,2020,Female,16-19,1505,High,6.9,87
Kommun_153,2020,Female,20-24,1518,Low,16.4,78.1
Kommun_153,2020,Male,16-19,1571,High,8.7,81.3
Kommun_153,2020,Male,20-24,1528,Medium,13.5,80
Kommun_153,2021,Female,16-19,1532,Medium,18.1,78.3
Kommun_153,2021,Female,20-24,1497,Medium,13.8,80
Kommun_153,2021,Male,16-19,1475,Low,17,78.4
Kommun_153,2021,Male,20-24,1455,Low,22.2,71.2
Kommun_153,2022,Female,16-19,1533,Medium,16.2,81.3
Kommun_153,2022,Female,20-24,1521,Medium,6,90.3
Kommun_153,2022,Male,16-19,1548,Medium,15,79.9
Kommun_153,2022,Male,20-24,1443,Low,16.1,77.4
Kommun_153,2023,Female,16-19,1475,Medium,12.9,81
Kommun_153,2023,Female,20-24,1520,Medium,12.6,82.9
Kommun_153,2023,Male,16-19,1486,Medium,17,75.5
Kommun_153,2023,Male,20-24,1540,Medium,7.7,84.2
Kommun_154,2018,Female,16-19,1490,High,5.9,89.5
Kommun_154,2018,Female,20-24,1526,Medium,9.9,82.9
Kommun_154,2018,Male,16-19,1467,High,11,79
Kommun_154,2018,Male,20-24,1470,Medium,14.7,80.7
Kommun_154,2019,Female,16-19,1475,Low,15.9,80.8
Kommun_154,2019,Female,20-24,1390,Medium,10.5,82.5
Kommun_154,2019,Male,16-19,1457,Low,15.6,77.1
Kommun_154,2019,Male,20-24,1465,High,5.8,89.1
Kommun_154,2020,Female,16-19,1516,Low,20,74.3
Kommun_154,2020,Female,20-24,1551,High,5.7,88.7
Kommun_154,2020,Male,16-19,1525,Medium,11.7,86
Kommun_154,2020,Male,20-24,1541,Low,21.4,71.7
Kommun_154,2021,Female,16-19,1551,Low,15.8,79.1
Kommun_154,2021,Female,20-24,1474,High,9,83.8
Kommun_154,2021,Male,16-19,1537,Medium,11.2,81.8
Kommun_154,2021,Male,20-24,1452,Low,19.1,71.1
Kommun_154,2022,Female,16-19,1502,High,13.3,78.8
Kommun_154,2022,Female,20-24,1538,High,5.6,91.9
Kommun_154,2022,Male,16-19,1497,High,9.9,85.4
Kommun_154,2022,Male,20-24,1449,Medium,15.8,77.8
Kommun_154,2023,Female,16-19,1527,Medium,12.6,83.6
Kommun_154,2023,Female,20-24,1537,Medium,15.8,78
Kommun_154,2023,Male,16-19,1493,High,13.2,81.7
Kommun_154,2023,Male,20-24,1491,Medium,5.5,92.6
Kommun_155,2018,Female,16-19,1429,Medium,12,84.8
Kommun_155,2018,Female,20-24,1476,Medium,9,82.6
Kommun_155,2018,Male,16-19,1485,Medium,12.5,77.4
Kommun_155,2018,Male,20-24,1527,High,4.6,90.2
Kommun_155,2019,Female,16-19,1543,Medium,15.4,80.6
Kommun_155,2019,Female,20-24,1432,Medium,11.4,88
Kommun_155,2019,Male,16-19,1482,Low,15.2,82.6
Kommun_155,2019,Male,20-24,1568,Low,20.4,74
Kommun_155,2020,Female,16-19,1444,Low,18.1,79.3
Kommun_155,2020,Female,20-24,1515,Low,13.4,79.1
Kommun_155,2020,Male,16-19,1477,Low,19.9,76.2
Kommun_155,2020,Male,20-24,1461,High,5.3,89.2
Kommun_155,2021,Female,16-19,1532,Low,23.4,71.4
Kommun_155,2021,Female,20-24,1428,Low,17.5,77.3
Kommun_155,2021,Male,16-19,1490,Low,15.4,77.9
Kommun_155,2021,Male,20-24,1593,Medium,10.8,84.1
Kommun_155,2022,Female,16-19,1558,Medium,12.3,81.8
Kommun_155,2022,Female,20-24,1483,Low,17.5,77.2
Kommun_155,2022,Male,16-19,1455,High,10,86.4
Kommun_155,2022,Male,20-24,1506,Medium,10.5,84
Kommun_155,2023,Female,16-19,1494,Medium,10.3,83.6
Kommun_155,2023,Female,20-24,1474,High,9.2,81.2
Kommun_155,2023,Male,16-19,1576,High,3,91
Kommun_155,2023,Male,20-24,1482,Medium,13.2,80.8
Kommun_156,2018,Female,16-19,1532,Medium,7.4,91.4
Kommun_156,2018,Female,20-24,1437,Medium,15.3,81.5
Kommun_156,2018,Male,16-19,1473,Medium,9.1,83.6
Kommun_156,2018,Male,20-24,1484,Low,19.4,73.4
Kommun_156,2019,Female,16-19,1576,Medium,13.8,79.6
Kommun_156,2019,Female,20-24,1499,Low,22.6,68.5
Kommun_156,2019,Male,16-19,1550,High,3,91.3
Kommun_156,2019,Male,20-24,1571,Low,14,81
Kommun_156,2020,Female,16-19,1499,Low,20,77.8
Kommun_156,2020,Female,20-24,1516,Medium,9.4,86.2
Kommun_156,2020,Male,16-19,1500,Low,21.9,76.5
Kommun_156,2020,Male,20-24,1518,Low,13.2,81.4
Kommun_156,2021,Female,16-19,1489,Low,14.6,75.5
Kommun_156,2021,Female,20-24,1546,Medium,9.7,83.8
Kommun_156,2021,Male,16-19,1468,High,7.7,87
Kommun_156,2021,Male,20-24,1563,Low,18.8,75.2
Kommun_156,2022,Female,16-19,1515,Low,16.4,75.3
Kommun_156,2022,Female,20-24,1515,High,5.4,89.6
Kommun_156,2022,Male,16-19,1515,Low,15.4,82.7
Kommun_156,2022,Male,20-24,1516,Medium,6.2,89
Kommun_156,2023,Female,16-19,1447,High,6.4,86.2
Kommun_156,2023,Female,20-24,1542,Low,20.1,75.8
Kommun_156,2023,Male,16-19,1563,Low,21.8,73.7
Kommun_156,2023,Male,20-24,1506,Low,17.8,74.2
Kommun_157,2018,Female,16-19,1484,Low,19.1,78.7
Kommun_157,2018,Female,20-24,1506,Medium,10.1,85.1
Kommun_157,2018,Male,16-19,1516,Medium,13.1,79.1
Kommun_157,2018,Male,20-24,1501,Low,23.9,72.6
Kommun_157,2019,Female,16-19,1464,Medium,14.3,81.4
Kommun_157,2019,Female,20-24,1424,Medium,14.4,77.7
Kommun_157,2019,Male,16-19,1551,Medium,10.7,79.8
Kommun_157,2019,Male,20-24,1443,Medium,7.9,83.9
Kommun_157,2020,Female,16-19,1506,Low,13.9,82
Kommun_157,2020,Female,20-24,1523,Medium,5.8,91.6
Kommun_157,2020,Male,16-19,1496,Medium,13.6,83.1
Kommun_157,2020,Male,20-24,1595,Low,22.7,71.7
Kommun_157,2021,Female,16-19,1471,Medium,9.1,87.9
Kommun_157,2021,Female,20-24,1475,High,4.8,89.9
Kommun_157,2021,Male,16-19,1460,Medium,12.8,84.5
Kommun_157,2021,Male,20-24,1461,High,5.3,90.8
Kommun_157,2022,Female,16-19,1502,High,9,86.4
Kommun_157,2022,Female,20-24,1437,Medium,12.1,81.7
Kommun_157,2022,Male,16-19,1538,High,9.1,91
Kommun_157,2022,Male,20-24,1499,Low,21,71.6
Kommun_157,2023,Female,16-19,1515,Low,19,74.1
Kommun_157,2023,Female,20-24,1456,Medium,15.3,80
Kommun_157,2023,Male,16-19,1518,Low,23.2,69.5
Kommun_157,2023,Male,20-24,1533,Medium,15.4,81.3
Kommun_158,2018,Female,16-19,1523,Low,19.3,78.2
Kommun_158,2018,Female,20-24,1495,Medium,10.4,86.5
Kommun_158,2018,Male,16-19,1451,Medium,9.4,85.7
Kommun_158,2018,Male,20-24,1545,Low,16.2,78.5
Kommun_158,2019,Female,16-19,1460,High,9.1,91.6
Kommun_158,2019,Female,20-24,1479,Medium,14.7,81.6
Kommun_158,2019,Male,16-19,1504,Medium,16.2,78.1
Kommun_158,2019,Male,20-24,1453,High,5.3,87.8
Kommun_158,2020,Female,16-19,1500,Low,24,73.5
Kommun_158,2020,Female,20-24,1560,Low,20.4,72.8
Kommun_158,2020,Male,16-19,1521,Low,21.8,73.2
Kommun_158,2020,Male,20-24,1501,High,7.6,84.7
Kommun_158,2021,Female,16-19,1480,Medium,17.5,76.2
Kommun_158,2021,Female,20-24,1453,Low,18.5,74.9
Kommun_158,2021,Male,16-19,1506,Medium,18.9,76.6
Kommun_158,2021,Male,20-24,1540,Medium,8.7,86.6
Kommun_158,2022,Female,16-19,1465,Medium,10.6,87.5
Kommun_158,2022,Female,20-24,1500,Low,11,81
Kommun_158,2022,Male,16-19,1484,Medium,7.8,86.6
Kommun_158,2022,Male,20-24,1541,Medium,12,85.8
Kommun_158,2023,Female,16-19,1497,Medium,14,81.5
Kommun_158,2023,Female,20-24,1525,Low,22.4,74.8
Kommun_158,2023,Male,16-19,1503,Low,18.6,76.2
Kommun_158,2023,Male,20-24,1451,Medium,10.2,84.8
Kommun_159,2018,Female,16-19,1502,Low,15.8,81
Kommun_159,2018,Female,20-24,1475,Medium,10,85.2
Kommun_159,2018,Male,16-19,1540,Medium,9.4,86.2
Kommun_159,2018,Male,20-24,1517,High,10.2,85.4
Kommun_159,2019,Female,16-19,1527,Medium,10.3,83.9
Kommun_159,2019,Female,20-24,1479,Low,16.7,77.4
Kommun_159,2019,Male,16-19,1554,High,8.9,83.3
Kommun_159,2019,Male,20-24,1485,Medium,9.5,85.3
Kommun_159,2020,Female,16-19,1543,Medium,12.9,82.3
Kommun_159,2020,Female,20-24,1402,Low,17.7,81.1
Kommun_159,2020,Male,16-19,1531,Medium,10.7,82.1
Kommun_159,2020,Male,20-24,1560,High,10.8,84.5
Kommun_159,2021,Female,16-19,1472,Medium,17.1,79.1
Kommun_159,2021,Female,20-24,1483,Medium,11.1,83
Kommun_159,2021,Male,16-19,1484,Medium,15.6,80
Kommun_159,2021,Male,20-24,1558,Medium,15.2,76.9
Kommun_159,2022,Female,16-19,1437,Low,20,76
Kommun_159,2022,Female,20-24,1481,Medium,13.8,81.7
Kommun_159,2022,Male,16-19,1521,Medium,15.3,80.1
Kommun_159,2022,Male,20-24,1476,Medium,15,79.4
Kommun_159,2023,Female,16-19,1508,Low,18.7,74.9
Kommun_159,2023,Female,20-24,1532,Medium,10.4,83.8
Kommun_159,2023,Male,16-19,1524,Low,19.5,74.4
Kommun_159,2023,Male,20-24,1534,Medium,7.6,87.7
Kommun_16,2018,Female,16-19,1514,High,9.8,81.2
Kommun_16,2018,Female,20-24,1506,Low,13.4,83.5
Kommun_16,2018,Male,16-19,1441,Low,17.3,77.5
Kommun_16,2018,Male,20-24,1519,High,7.8,87.2
Kommun_16,2019,Female,16-19,1483,Medium,14.9,82.9
Kommun_16,2019,Female,20-24,1524,Low,16.3,81.5
Kommun_16,2019,Male,16-19,1468,Low,23.3,74.4
Kommun_16,2019,Male,20-24,1525,Low,22.2,74.2
Kommun_16,2020,Female,16-19,1547,Medium,9.3,82.9
Kommun_16,2020,Female,20-24,1541,Medium,14.5,78.6
Kommun_16,2020,Male,16-19,1467,Medium,9.9,83.7
Kommun_16,2020,Male,20-24,1534,Medium,15.1,83.3
Kommun_16,2021,Female,16-19,1491,High,7.5,89.5
Kommun_16,2021,Female,20-24,1554,Low,17.7,78.1
Kommun_16,2021,Male,16-19,1484,Low,16,78.1
Kommun_16,2021,Male,20-24,1531,Low,18.3,78.1
Kommun_16,2022,Female,16-19,1427,High,5.7,90
Kommun_16,2022,Female,20-24,1493,High,9.5,87.9
Kommun_16,2022,Male,16-19,1464,Low,17.2,76.8
Kommun_16,2022,Male,20-24,1518,Medium,16.5,77.2
Kommun_16,2023,Female,16-19,1544,Low,13.9,82.5
Kommun_16,2023,Female,20-24,1518,Low,16.3,76.3
Kommun_16,2023,Male,16-19,1412,Medium,14.9,79.3
Kommun_16,2023,Male,20-24,1434,Medium,13.8,78
Kommun_160,2018,Female,16-19,1474,High,4.8,93.4
Kommun_160,2018,Female,20-24,1447,Low,18.7,75.9
Kommun_160,2018,Male,16-19,1557,Medium,10.1,82.1
Kommun_160,2018,Male,20-24,1517,Low,19.1,74.8
Kommun_160,2019,Female,16-19,1490,Medium,7.5,83.7
Kommun_160,2019,Female,20-24,1522,Medium,13.2,86.9
Kommun_160,2019,Male,16-19,1543,High,8.7,85.6
Kommun_160,2019,Male,20-24,1543,High,7,86.8
Kommun_160,2020,Female,16-19,1491,Medium,8,82
Kommun_160,2020,Female,20-24,1459,Medium,14.3,82.9
Kommun_160,2020,Male,16-19,1500,Medium,15.6,79.9
Kommun_160,2020,Male,20-24,1474,Low,19.1,77.4
Kommun_160,2021,Female,16-19,1523,Medium,13.8,84.3
Kommun_160,2021,Female,20-24,1498,Low,15,80.7
Kommun_160,2021,Male,16-19,1417,Medium,14.1,82.1
Kommun_160,2021,Male,20-24,1465,Medium,9.1,85.5
Kommun_160,2022,Female,16-19,1497,Low,21.4,72.9
Kommun_160,2022,Female,20-24,1478,Medium,14.6,80.5
Kommun_160,2022,Male,16-19,1569,Low,14.7,80.5
Kommun_160,2022,Male,20-24,1460,Medium,13.5,79.6
Kommun_160,2023,Female,16-19,1497,Medium,11.4,84.1
Kommun_160,2023,Female,20-24,1450,Medium,14.7,80.6
Kommun_160,2023,Male,16-19,1499,Low,18.8,76.7
Kommun_160,2023,Male,20-24,1544,Low,17.1,75.6
Kommun_161,2018,Female,16-19,1514,Low,20.4,78.8
Kommun_161,2018,Female,20-24,1447,High,6,88.8
Kommun_161,2018,Male,16-19,1530,Medium,11.3,81.9
Kommun_161,2018,Male,20-24,1507,Medium,15.3,79.5
Kommun_161,2019,Female,16-19,1502,Medium,13.7,77.5
Kommun_161,2019,Female,20-24,1530,Medium,11.6,85.6
Kommun_161,2019,Male,16-19,1477,Medium,13.5,83.5
Kommun_161,2019,Male,20-24,1515,Low,18.6,78.3
Kommun_161,2020,Female,16-19,1485,Medium,10.7,83.1
Kommun_161,2020,Female,20-24,1465,Medium,7.6,87.7
Kommun_161,2020,Male,16-19,1575,Medium,20.2,74
Kommun_161,2020,Male,20-24,1551,Low,22.7,74.7
Kommun_161,2021,Female,16-19,1481,High,6.8,84.6
Kommun_161,2021,Female,20-24,1460,Medium,11.7,83.2
Kommun_161,2021,Male,16-19,1482,Medium,10.1,82.1
Kommun_161,2021,Male,20-24,1485,Low,22.9,72.1
Kommun_161,2022,Female,16-19,1526,High,6.8,86.8
Kommun_161,2022,Female,20-24,1473,High,6.2,88
Kommun_161,2022,Male,16-19,1455,Medium,10.6,84.9
Kommun_161,2022,Male,20-24,1430,Medium,11.2,86.8
Kommun_161,2023,Female,16-19,1516,Low,20.9,71.3
Kommun_161,2023,Female,20-24,1549,Medium,10.9,84.9
Kommun_161,2023,Male,16-19,1493,Medium,19.2,75.7
Kommun_161,2023,Male,20-24,1494,Medium,15.5,80.5
Kommun_162,2018,Female,16-19,1511,Medium,12,81.6
Kommun_162,2018,Female,20-24,1501,Medium,11.6,82.7
Kommun_162,2018,Male,16-19,1457,Medium,14.8,80.3
Kommun_162,2018,Male,20-24,1582,Medium,13.7,80.7
Kommun_162,2019,Female,16-19,1550,Low,12.9,83.1
Kommun_162,2019,Female,20-24,1477,Medium,18.5,76.2
Kommun_162,2019,Male,16-19,1474,Medium,11.4,84.2
Kommun_162,2019,Male,20-24,1489,Medium,10.5,84.1
Kommun_162,2020,Female,16-19,1469,Medium,13.8,80.9
Kommun_162,2020,Female,20-24,1476,High,9.5,84
Kommun_162,2020,Male,16-19,1521,Low,21.4,75.2
Kommun_162,2020,Male,20-24,1535,Medium,10.8,85.7
Kommun_162,2021,Female,16-19,1497,High,10.6,85.6
Kommun_162,2021,Female,20-24,1564,High,4,90
Kommun_162,2021,Male,16-19,1473,Medium,18.6,78.1
Kommun_162,2021,Male,20-24,1501,High,12.9,81.8
Kommun_162,2022,Female,16-19,1509,High,8.8,89
Kommun_162,2022,Female,20-24,1481,Medium,11.7,86.3
Kommun_162,2022,Male,16-19,1504,High,11.8,85.6
Kommun_162,2022,Male,20-24,1573,High,6.3,90.3
Kommun_162,2023,Female,16-19,1497,Low,18.8,76
Kommun_162,2023,Female,20-24,1519,Medium,13.3,77
Kommun_162,2023,Male,16-19,1494,Medium,12.2,81.5
Kommun_162,2023,Male,20-24,1471,High,11.9,83.2
Kommun_163,2018,Female,16-19,1473,High,3.1,95
Kommun_163,2018,Female,20-24,1556,Medium,9.2,84
Kommun_163,2018,Male,16-19,1518,Low,19.6,74.7
Kommun_163,2018,Male,20-24,1501,Medium,10.9,83.2
Kommun_163,2019,Female,16-19,1475,Medium,18.7,76.9
Kommun_163,2019,Female,20-24,1565,Medium,6.9,88.9
Kommun_163,2019,Male,16-19,1476,Medium,9.2,88.8
Kommun_163,2019,Male,20-24,1475,High,5.2,88.6
Kommun_163,2020,Female,16-19,1536,High,9.8,84.6
Kommun_163,2020,Female,20-24,1526,Medium,12.4,82.1
Kommun_163,2020,Male,16-19,1529,Low,17.2,77.2
Kommun_163,2020,Male,20-24,1548,Low,13,82.9
Kommun_163,2021,Female,16-19,1451,High,7.2,89.6
Kommun_163,2021,Female,20-24,1508,High,7.2,86.9
Kommun_163,2021,Male,16-19,1475,Medium,13.6,84.4
Kommun_163,2021,Male,20-24,1505,High,3.7,91.7
Kommun_163,2022,Female,16-19,1518,Low,17.2,76.7
Kommun_163,2022,Female,20-24,1498,Medium,11.9,81.1
Kommun_163,2022,Male,16-19,1476,Medium,8.2,88
Kommun_163,2022,Male,20-24,1495,High,5,92
Kommun_163,2023,Female,16-19,1529,Low,18.3,73.8
Kommun_163,2023,Female,20-24,1504,Medium,10,85.7
Kommun_163,2023,Male,16-19,1460,Medium,11.1,82.9
Kommun_163,2023,Male,20-24,1501,High,5.2,87.2
Kommun_164,2018,Female,16-19,1510,High,9.3,86
Kommun_164,2018,Female,20-24,1538,Medium,14,80.3
Kommun_164,2018,Male,16-19,1484,High,8.6,90.2
Kommun_164,2018,Male,20-24,1528,High,12.2,84
Kommun_164,2019,Female,16-19,1515,Medium,5.7,88.6
Kommun_164,2019,Female,20-24,1484,Low,18.2,77.2
Kommun_164,2019,Male,16-19,1472,Low,16.6,76
Kommun_164,2019,Male,20-24,1498,High,9,82.9
Kommun_164,2020,Female,16-19,1567,Medium,16,81.9
Kommun_164,2020,Female,20-24,1481,Low,20.5,74.8
Kommun_164,2020,Male,16-19,1479,Low,26,67.8
Kommun_164,2020,Male,20-24,1474,Low,17.7,76.1
Kommun_164,2021,Female,16-19,1421,High,9,85.9
Kommun_164,2021,Female,20-24,1479,Medium,14.4,81.5
Kommun_164,2021,Male,16-19,1488,High,6.7,87.6
Kommun_164,2021,Male,20-24,1470,Low,19.4,73.5
Kommun_164,2022,Female,16-19,1540,Low,24.3,69.2
Kommun_164,2022,Female,20-24,1471,Medium,9,87.5
Kommun_164,2022,Male,16-19,1464,Medium,11.5,83.4
Kommun_164,2022,Male,20-24,1538,Medium,9.3,87
Kommun_164,2023,Female,16-19,1489,High,15.9,83.5
Kommun_164,2023,Female,20-24,1475,Medium,12.6,81.8
Kommun_164,2023,Male,16-19,1504,Medium,15.6,83
Kommun_164,2023,Male,20-24,1481,High,8.8,85.2
Kommun_165,2018,Female,16-19,1505,Low,16.5,79.1
Kommun_165,2018,Female,20-24,1507,Low,18.8,78.5
Kommun_165,2018,Male,16-19,1568,Medium,13.4,85.7
Kommun_165,2018,Male,20-24,1545,Medium,11.3,83.1
Kommun_165,2019,Female,16-19,1546,High,9.2,84.5
Kommun_165,2019,Female,20-24,1550,Medium,14.1,79.6
Kommun_165,2019,Male,16-19,1509,Low,20,73.1
Kommun_165,2019,Male,20-24,1419,High,10.1,84.2
Kommun_165,2020,Female,16-19,1490,Low,17.6,80.8
Kommun_165,2020,Female,20-24,1432,Low,18.9,76.8
Kommun_165,2020,Male,16-19,1470,Medium,5.5,90.7
Kommun_165,2020,Male,20-24,1455,High,5.5,88.9
Kommun_165,2021,Female,16-19,1517,Medium,10.1,85.1
Kommun_165,2021,Female,20-24,1520,Medium,17,77
Kommun_165,2021,Male,16-19,1484,Medium,6.8,90.5
Kommun_165,2021,Male,20-24,1486,Medium,12.2,84.1
Kommun_165,2022,Female,16-19,1392,Low,11.6,88.7
Kommun_165,2022,Female,20-24,1451,Medium,11.7,82.7
Kommun_165,2022,Male,16-19,1538,Low,14.3,82.1
Kommun_165,2022,Male,20-24,1540,Low,14.6,78.1
Kommun_165,2023,Female,16-19,1517,Medium,13.9,84.5
Kommun_165,2023,Female,20-24,1420,High,5.5,92.8
Kommun_165,2023,Male,16-19,1465,Medium,13.1,77.4
Kommun_165,2023,Male,20-24,1561,High,8.5,85.2
Kommun_166,2018,Female,16-19,1517,High,3,95
Kommun_166,2018,Female,20-24,1506,Medium,8.3,85.1
Kommun_166,2018,Male,16-19,1486,High,5.1,88.1
Kommun_166,2018,Male,20-24,1553,Low,14.9,81.8
Kommun_166,2019,Female,16-19,1517,Medium,12.5,82.5
Kommun_166,2019,Female,20-24,1554,High,8.4,84.1
Kommun_166,2019,Male,16-19,1603,Medium,11.8,83.1
Kommun_166,2019,Male,20-24,1538,High,14,83.1
Kommun_166,2020,Female,16-19,1526,Medium,10.9,80.8
Kommun_166,2020,Female,20-24,1449,Low,18.5,76.6
Kommun_166,2020,Male,16-19,1587,Medium,9.8,84.9
Kommun_166,2020,Male,20-24,1524,Medium,14.2,83
Kommun_166,2021,Female,16-19,1439,Medium,14.8,79.8
Kommun_166,2021,Female,20-24,1500,Low,21.1,72
Kommun_166,2021,Male,16-19,1491,Low,16.9,79.6
Kommun_166,2021,Male,20-24,1509,Medium,10.5,82.8
